,src-ip,risk-factor,categories
297,999913544.0,1.0,1
298,2062065234.0,1.0,1
299,1935090705.0,1.0,0
300,1022461402.0,1.0,1
301,1961005154.0,1.0,1
302,3063266428.0,1.51325678497,1
303,4.25404881914e+37,1.0,1
304,2070879038.0,1.0,1
305,1942653553.0,1.0,1
306,1878814578.0,1.0,0
307,1943360850.0,1.0,1
308,3.38288524927e+38,1.0,1
309,2938954163.0,1.0,1
310,4.25404882106e+37,1.0,1
311,1743297063.0,1.0,0
312,3698798393.0,1.0,1
313,4.25404882106e+37,1.0,1
314,4.25404881822e+37,1.0,1
315,3668236548.0,1.0,0
316,1028571248.0,1.0,1
317,2085749817.0,1.0,1
318,3247337617.0,1.0,1
319,1811050625.0,1.0,1
320,1268650792.0,1.0,0
321,1968606678.0,1.0,0
322,1841923473.0,1.0,1
323,3624589357.0,1.0,1
324,3699833064.0,1.0,1
325,3416521162.0,5.7,2
326,1915095329.0,1.0,0
327,2076954074.0,1.0,1
328,3754751707.0,1.0,0
329,2083733287.0,1.0,1
330,720584475.0,1.0,1
331,619670616.0,5.7,2
332,1770809521.0,1.0,0
333,3255507981.0,1.0,1
334,3002746183.0,1.0,1
335,242729738.0,1.0,1
336,3158704317.0,1.4,2
337,1594427335.0,1.0,1
338,387745170.0,1.0,0
339,1879984781.0,1.0,0
340,690838787.0,1.0,0
341,28216405.0,1.0,0
342,2637187202.0,1.0,1
343,3757448910.0,1.0,0
344,831562158.0,1.0,0
345,456914676.0,1.0,0
346,2076940092.0,1.0,1
347,1844039693.0,1.0,1
348,997412595.0,1.0,0
349,2745984860.0,1.0,1
350,3721368123.0,1.0,0
351,1781766682.0,5.7,2
352,1311420141.0,1.0,2
353,1407463849.0,1.0,2
354,1966921753.0,1.51325678497,1
355,1935090705.0,1.0,2
356,3063266428.0,1.0,1
357,4.25404881914e+37,1.51325678497,1
358,1878814578.0,1.0,2
359,1915095329.0,1.0,2
360,28216405.0,1.0,2
361,831562158.0,1.0,2
362,456914676.0,1.0,2
363,3301918600.0,5.7,2
364,1314090998.0,1.0,2
365,826965153.0,1.0,1
366,3072242060.0,1.0,1
367,3069370846.0,1.0,1
368,1840130675.0,1.0,2
369,692248275.0,1.0,0
370,1892304408.0,1.0,0
371,2104437783.0,1.0,0
372,3027440921.0,1.0,0
373,3703299167.0,1.0,0
374,597613390.0,1.0,1
375,3116166160.0,1.0,2
376,1990529021.0,1.0,2
377,832536757.0,1.0,0
378,2059526536.0,1.0,1
379,3541997498.0,1.0,0
380,1014616548.0,1.0,2
381,2072417626.0,1.0,1
382,3.38288524927e+38,1.0,1
383,1.0,1.0,1
384,1094164087.0,1.0,1
385,2080826670.0,1.0,0
386,1442173359.0,1.0,2
387,1791734885.0,1.4,2
388,1590432896.0,1.0,0
389,1001830352.0,1.0,2
390,824328846.0,1.0,1
391,2072557784.0,1.0,1
392,1372800706.0,1.0,1
393,1603812985.0,5.7,2
394,607971182.0,1.0,2
395,3169354169.0,1.0,0
396,3747785095.0,1.0,1
397,1113265790.0,1.0,0
398,3663184590.0,1.0,1
399,3232235667.0,1.0,1
400,3245238979.0,1.0,1
401,1009976376.0,1.51325678497,1
402,1742833386.0,1.4,2
403,3394169446.0,5.7,2
404,94877132.0,1.51325678497,1
405,2956925587.0,5.7,2
406,1388882006.0,1.0,0
407,1733529985.0,5.7,2
408,2083339290.0,1.0,2
409,1495050007.0,1.0,0
410,1906593800.0,1.4,2
411,1564303899.0,1.0,1
412,996462782.0,1.0,1
413,1595413541.0,1.0,2
414,3526548430.0,1.0,0
415,1339152405.0,1.0,1
416,3161529857.0,1.0,2
417,533911263.0,10.0,2
418,3717049490.0,1.0,1
419,3039591055.0,1.0,2
420,1474363945.0,1.0,1
421,1042081510.0,1.0,0
422,96320346.0,1.0,1
423,86812679.0,5.7,2
424,1990685678.0,1.0,2
425,94687240.0,1.0,2
426,237047815.0,1.0,1
427,3662352090.0,1.0,1
428,1873894714.0,1.0,1
429,987675730.0,1.0,1
430,2151950684.0,1.51325678497,1
431,995953739.0,5.7,2
432,1044700759.0,1.0,0
433,1849093489.0,4.3,2
434,2637252451.0,1.0,1
435,2302366833.0,7.1,2
436,1860297512.0,1.4,2
437,624515314.0,5.7,2
438,2883770079.0,5.7,2
439,1600730863.0,1.0,0
