action,protocol,src-ip,dst-ip,src-port,dst-port,path,src-ip-risk-factor,dst-ip-risk-factor,total-risk-factor
0,1,104.207.83.2,192.168.1.8,55553,42065,0,1.0,1.0,1.0
0,0,220.143.92.20,192.168.1.8,1649,42065,0,1.0,1.0,1.0
0,0,92.111.218.30,192.168.1.8,50321,42065,0,1.0,1.0,1.0
0,0,174.194.13.73,192.168.1.8,9013,42065,0,1.0,1.0,1.0
0,0,125.111.45.86,192.168.1.8,21738,42065,0,1.0,1.0,1.0
0,0,59.58.204.44,192.168.1.8,29715,42065,0,1.0,1.0,1.0
0,0,112.198.133.114,192.168.1.8,47683,42065,0,1.0,1.0,1.0
0,1,197.245.31.40,192.168.1.8,53549,42065,0,5.7,1.0,3.35
0,0,42.92.56.164,192.168.1.8,47483,42065,0,1.0,1.0,1.0
0,1,112.202.162.164,192.168.1.8,21825,42065,0,1.0,1.0,1.0
0,0,169.239.44.10,192.168.1.8,46139,42065,0,8.6,1.0,4.8
0,0,41.100.15.68,192.168.1.8,22985,42065,0,1.0,1.0,1.0
0,0,76.11.115.68,192.168.1.8,6883,42065,0,1.0,1.0,1.0
0,1,41.104.143.14,192.168.1.8,14227,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,41.104.143.14,42065,6890,1,1.0,1.0,1.0
0,0,41.104.143.14,192.168.1.8,13506,42065,0,1.0,1.0,1.0
0,2,2001:0:4137:9e76:182d:7ee:ae13:f902,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,-99999,-99999,0,1.0,1.0,1.0
0,1,150.107.189.216,192.168.1.8,21754,42065,0,1.0,1.0,1.0
0,0,176.252.56.44,192.168.1.8,40502,42065,0,1.0,1.0,1.0
0,0,195.202.202.206,192.168.1.8,42721,42065,0,1.0,1.0,1.0
0,1,59.91.17.238,192.168.1.8,34225,42065,0,5.7,1.0,3.35
0,0,197.237.24.218,192.168.1.8,45714,42065,0,5.7,1.0,3.35
0,1,197.237.24.218,192.168.1.8,52056,42065,0,5.7,1.0,3.35
0,2,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,2001:0:4137:9e76:182d:7ee:ae13:f902,-99999,-99999,1,1.0,1.0,1.0
0,0,125.67.133.162,192.168.1.8,13073,42065,0,1.0,1.0,1.0
0,1,112.200.233.239,192.168.1.8,16120,42065,0,1.0,1.0,1.0
0,0,77.106.89.194,192.168.1.8,27307,42065,0,1.0,1.0,1.0
0,1,185.21.216.171,192.168.1.8,48029,42065,0,1.0,1.0,1.0
0,1,2001:0:9d38:6abd:3411:260b:7457:2e38,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,57698,42065,0,1.0,1.0,1.0
0,0,1.1.210.181,192.168.1.8,6883,42065,0,5.7,1.0,3.35
0,1,94.242.238.66,192.168.1.8,62781,42065,0,5.7,1.0,3.35
0,0,77.230.182.210,192.168.1.8,6889,42065,0,1.0,1.0,1.0
0,0,89.211.151.100,192.168.1.8,46234,42065,0,5.7,1.0,3.35
0,0,47.54.146.26,192.168.1.8,6884,42065,0,1.0,1.0,1.0
0,1,41.90.186.113,192.168.1.8,46084,42065,0,1.0,1.0,1.0
0,1,27.5.59.15,192.168.1.8,39870,42065,0,1.0,1.0,1.0
0,1,167.249.144.8,192.168.1.8,41449,42065,0,1.0,1.0,1.0
0,0,183.69.194.118,192.168.1.8,5128,42065,0,1.0,1.0,1.0
0,0,114.47.136.30,192.168.1.8,9748,42065,0,1.0,1.0,1.0
0,0,49.73.238.15,192.168.1.8,60065,42065,0,1.0,1.0,1.0
0,1,107.242.112.124,192.168.1.8,33272,42065,0,1.0,1.0,1.0
0,0,103.247.48.100,192.168.1.8,39745,42065,0,1.4,1.0,1.2
0,1,41.104.143.14,192.168.1.8,14350,42065,0,1.0,1.0,1.0
0,1,2001:0:9d38:6abd:38ce:153a:d625:11a7,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,51025,42065,0,1.0,1.0,1.0
0,0,188.237.117.32,192.168.1.8,20280,42065,0,1.0,1.0,1.0
0,0,144.12.8.17,192.168.1.8,12949,42065,0,1.0,1.0,1.0
0,1,41.104.143.14,192.168.1.8,14354,42065,0,1.0,1.0,1.0
0,0,2.97.138.192,192.168.1.8,6881,42065,0,1.0,1.0,1.0
0,1,24.197.193.78,192.168.1.8,60340,42065,0,1.0,1.0,1.0
0,0,105.105.17.13,192.168.1.8,50321,42065,0,5.7,1.0,3.35
0,1,106.207.23.237,192.168.1.8,3016,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,173.244.44.11,42065,57443,1,1.0,1.0,1.0
0,0,187.247.22.136,192.168.1.8,61057,42065,0,1.0,1.0,1.0
0,0,109.77.58.227,192.168.1.8,6882,42065,0,1.0,1.0,1.0
0,0,113.52.118.241,192.168.1.8,9128,42065,0,1.0,1.0,1.0
0,0,188.225.92.167,192.168.1.8,35570,42065,0,1.0,1.0,1.0
0,0,94.209.220.11,192.168.1.8,40500,42065,0,1.0,1.0,1.0
0,0,61.228.251.147,192.168.1.8,7410,42065,0,1.0,1.0,1.0
0,0,183.26.114.251,192.168.1.8,7985,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,54.77.218.23,42065,6892,1,1.0,1.0,1.0
0,0,217.206.62.234,192.168.1.8,44264,42065,0,1.0,1.0,1.0
0,0,78.153.44.182,192.168.1.8,50321,42065,0,1.0,1.0,1.0
0,0,60.15.251.134,192.168.1.8,6881,42065,0,1.0,1.0,1.0
0,0,41.160.108.242,192.168.1.8,1483,42065,0,1.0,1.0,1.0
0,1,142.167.227.210,192.168.1.8,12771,42065,0,1.0,1.0,1.0
0,0,180.154.84.146,192.168.1.8,8939,42065,0,1.0,1.0,1.0
0,0,106.181.218.117,192.168.1.8,17238,42065,0,1.0,1.0,1.0
0,0,60.180.145.45,192.168.1.8,25453,42065,0,1.0,1.0,1.0
0,0,36.88.157.67,192.168.1.8,10780,42065,0,1.0,1.0,1.0
0,0,2.50.5.105,192.168.1.8,52479,42065,0,5.7,1.0,3.35
0,1,2.50.5.105,192.168.1.8,61375,42065,0,5.7,1.0,3.35
0,0,60.121.228.172,192.168.1.8,15997,42065,0,1.0,1.0,1.0
0,0,119.142.179.95,192.168.1.8,54720,42065,0,1.0,1.0,1.0
0,0,91.121.107.25,192.168.1.8,7956,42065,0,1.0,1.0,1.0
0,0,122.62.207.139,192.168.1.8,37096,42065,0,1.0,1.0,1.0
0,0,58.255.203.202,192.168.1.8,54809,42065,0,5.7,1.0,3.35
0,0,188.26.111.251,192.168.1.8,1063,42065,0,1.0,1.0,1.0
0,0,113.193.136.5,192.168.1.8,8999,42065,0,5.7,1.0,3.35
0,0,106.104.64.82,192.168.1.8,9907,42065,0,1.0,1.0,1.0
0,0,171.44.182.129,192.168.1.8,7139,42065,0,1.0,1.0,1.0
0,1,103.199.161.6,192.168.1.8,3375,42065,0,8.6,1.0,4.8
0,0,54.201.59.64,192.168.1.8,8112,42065,0,1.0,1.0,1.0
0,1,109.65.39.229,192.168.1.8,60294,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,60.241.133.218,42065,41868,1,1.0,1.0,1.0
0,1,115.127.96.177,192.168.1.8,44738,42065,0,-999.0,1.0,-499.0
0,0,103.196.137.242,192.168.1.8,49514,42065,0,10.0,1.0,5.5
0,1,80.3.234.79,192.168.1.8,49169,42065,0,1.0,1.0,1.0
0,0,93.99.163.91,192.168.1.8,25034,42065,0,1.0,1.0,1.0
0,0,203.214.90.53,192.168.1.8,23466,42065,0,1.0,1.0,1.0
0,0,217.233.100.141,192.168.1.8,6889,42065,0,1.0,1.0,1.0
0,0,70.77.129.184,192.168.1.8,1024,42065,0,1.0,1.0,1.0
0,0,209.112.135.42,192.168.1.8,42652,42065,0,1.0,1.0,1.0
0,0,80.114.128.242,192.168.1.8,31031,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,103.226.5.56,42065,12388,1,1.0,1.0,1.0
0,0,24.193.138.155,192.168.1.8,58825,42065,0,1.0,1.0,1.0
0,0,86.136.35.131,192.168.1.8,62734,42065,0,1.0,1.0,1.0
